Feature,Value,Model,Subject
error,0,PassiveAggressiveRegressor(random_state=2024),subject_22
error,0,GradientBoostingRegressor(random_state=2024),subject_22
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_22
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_22
error,0,DummyRegressor(),subject_22
error,0,LGBMRegressor(random_state=2024),subject_22
error,0,BayesianRidge(),subject_22
error,0,AdaBoostRegressor(random_state=2024),subject_22
error,0,Lasso(random_state=2024),subject_22
error,0,LassoLars(random_state=2024),subject_22
error,0,ElasticNet(random_state=2024),subject_22
error,0,OrthogonalMatchingPursuit(),subject_22
error,0,KNeighborsRegressor(n_jobs=-1),subject_22
error,0,DecisionTreeRegressor(random_state=2024),subject_22
error,0,Ridge(random_state=2024),subject_22
error,0,LinearRegression(n_jobs=-1),subject_22
error,0,HuberRegressor(),subject_22
error,0,Lars(random_state=2024),subject_22
error,0,PassiveAggressiveRegressor(random_state=2024),subject_24
error,0,DecisionTreeRegressor(random_state=2024),subject_24
error,0,GradientBoostingRegressor(random_state=2024),subject_24
error,0,DummyRegressor(),subject_24
error,0,LGBMRegressor(random_state=2024),subject_24
error,0,BayesianRidge(),subject_24
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_24
error,0,Lasso(random_state=2024),subject_24
error,0,LassoLars(random_state=2024),subject_24
error,0,OrthogonalMatchingPursuit(),subject_24
error,0,KNeighborsRegressor(n_jobs=-1),subject_24
error,0,ElasticNet(random_state=2024),subject_24
error,0,AdaBoostRegressor(random_state=2024),subject_24
error,0,Ridge(random_state=2024),subject_24
error,0,LinearRegression(n_jobs=-1),subject_24
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_24
error,0,HuberRegressor(),subject_24
error,0,Lars(random_state=2024),subject_24
error,0,PassiveAggressiveRegressor(random_state=2024),subject_25
error,0,GradientBoostingRegressor(random_state=2024),subject_25
error,0,DummyRegressor(),subject_25
error,0,LGBMRegressor(random_state=2024),subject_25
error,0,BayesianRidge(),subject_25
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_25
error,0,DecisionTreeRegressor(random_state=2024),subject_25
error,0,KNeighborsRegressor(n_jobs=-1),subject_25
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_25
error,0,LassoLars(random_state=2024),subject_25
error,0,Lasso(random_state=2024),subject_25
error,0,ElasticNet(random_state=2024),subject_25
error,0,OrthogonalMatchingPursuit(),subject_25
error,0,AdaBoostRegressor(random_state=2024),subject_25
error,0,Ridge(random_state=2024),subject_25
error,0,LinearRegression(n_jobs=-1),subject_25
error,0,HuberRegressor(),subject_25
error,0,Lars(random_state=2024),subject_25
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_26
error,0,AdaBoostRegressor(random_state=2024),subject_26
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_26
error,0,LGBMRegressor(random_state=2024),subject_26
error,0,GradientBoostingRegressor(random_state=2024),subject_26
error,0,KNeighborsRegressor(n_jobs=-1),subject_26
error,0,PassiveAggressiveRegressor(random_state=2024),subject_26
error,0,Ridge(random_state=2024),subject_26
error,0,BayesianRidge(),subject_26
error,0,DummyRegressor(),subject_26
error,0,ElasticNet(random_state=2024),subject_26
error,0,Lasso(random_state=2024),subject_26
error,0,LassoLars(random_state=2024),subject_26
error,0,OrthogonalMatchingPursuit(),subject_26
error,0,LinearRegression(n_jobs=-1),subject_26
error,0,HuberRegressor(),subject_26
error,0,DecisionTreeRegressor(random_state=2024),subject_26
error,0,Lars(random_state=2024),subject_26
error,0,PassiveAggressiveRegressor(random_state=2024),subject_27
error,0,AdaBoostRegressor(random_state=2024),subject_27
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_27
error,0,GradientBoostingRegressor(random_state=2024),subject_27
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_27
error,0,DecisionTreeRegressor(random_state=2024),subject_27
error,0,DummyRegressor(),subject_27
error,0,LGBMRegressor(random_state=2024),subject_27
error,0,BayesianRidge(),subject_27
error,0,LassoLars(random_state=2024),subject_27
error,0,Lasso(random_state=2024),subject_27
error,0,OrthogonalMatchingPursuit(),subject_27
error,0,ElasticNet(random_state=2024),subject_27
error,0,KNeighborsRegressor(n_jobs=-1),subject_27
error,0,Ridge(random_state=2024),subject_27
error,0,HuberRegressor(),subject_27
error,0,LinearRegression(n_jobs=-1),subject_27
error,0,Lars(random_state=2024),subject_27
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_28
error,0,LGBMRegressor(random_state=2024),subject_28
error,0,AdaBoostRegressor(random_state=2024),subject_28
error,0,GradientBoostingRegressor(random_state=2024),subject_28
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_28
error,0,DummyRegressor(),subject_28
error,0,BayesianRidge(),subject_28
error,0,Lasso(random_state=2024),subject_28
error,0,LassoLars(random_state=2024),subject_28
error,0,ElasticNet(random_state=2024),subject_28
error,0,KNeighborsRegressor(n_jobs=-1),subject_28
error,0,OrthogonalMatchingPursuit(),subject_28
error,0,LinearRegression(n_jobs=-1),subject_28
error,0,Ridge(random_state=2024),subject_28
error,0,HuberRegressor(),subject_28
error,0,DecisionTreeRegressor(random_state=2024),subject_28
error,0,PassiveAggressiveRegressor(random_state=2024),subject_28
error,0,Lars(random_state=2024),subject_28
error,0,PassiveAggressiveRegressor(random_state=2024),subject_29
error,0,DecisionTreeRegressor(random_state=2024),subject_29
error,0,GradientBoostingRegressor(random_state=2024),subject_29
error,0,AdaBoostRegressor(random_state=2024),subject_29
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_29
error,0,DummyRegressor(),subject_29
error,0,LGBMRegressor(random_state=2024),subject_29
error,0,BayesianRidge(),subject_29
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_29
error,0,LassoLars(random_state=2024),subject_29
error,0,Lasso(random_state=2024),subject_29
error,0,OrthogonalMatchingPursuit(),subject_29
error,0,ElasticNet(random_state=2024),subject_29
error,0,KNeighborsRegressor(n_jobs=-1),subject_29
error,0,LinearRegression(n_jobs=-1),subject_29
error,0,Ridge(random_state=2024),subject_29
error,0,HuberRegressor(),subject_29
error,0,Lars(random_state=2024),subject_29
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_3
error,0,GradientBoostingRegressor(random_state=2024),subject_3
error,0,AdaBoostRegressor(random_state=2024),subject_3
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_3
error,0,LinearRegression(n_jobs=-1),subject_3
error,0,Ridge(random_state=2024),subject_3
error,0,PassiveAggressiveRegressor(random_state=2024),subject_3
error,0,HuberRegressor(),subject_3
error,0,Lars(random_state=2024),subject_3
error,0,KNeighborsRegressor(n_jobs=-1),subject_3
error,0,LGBMRegressor(random_state=2024),subject_3
error,0,ElasticNet(random_state=2024),subject_3
error,0,DecisionTreeRegressor(random_state=2024),subject_3
error,0,Lasso(random_state=2024),subject_3
error,0,LassoLars(random_state=2024),subject_3
error,0,OrthogonalMatchingPursuit(),subject_3
error,0,BayesianRidge(),subject_3
error,0,DummyRegressor(),subject_3
error,0,GradientBoostingRegressor(random_state=2024),subject_33
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_33
