Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),test_set
Light Gradient Boosting Machine,0.7192,0.7527,0.7881,0.7455,0.7539,0.4264,0.445,0.169,"(6, 9, 17)"
Ada Boost Classifier,0.7019,0.679,0.7571,0.7187,0.7317,0.3939,0.4028,0.194,"(6, 9, 17)"
Gradient Boosting Classifier,0.6609,0.7066,0.7714,0.6814,0.7123,0.3074,0.3114,0.216,"(6, 9, 17)"
Ridge Classifier,0.6205,0.0,0.7095,0.6495,0.67,0.2178,0.2311,0.168,"(6, 9, 17)"
Logistic Regression,0.5712,0.5308,0.7476,0.5922,0.6528,0.1129,0.1143,0.174,"(6, 9, 17)"
K Neighbors Classifier,0.5468,0.5401,0.5619,0.5892,0.5614,0.0943,0.1013,0.162,"(6, 9, 17)"
Quadratic Discriminant Analysis,0.5455,0.5,1.0,0.5455,0.7051,0.0,0.0,0.163,"(6, 9, 17)"
Dummy Classifier,0.5455,0.5,1.0,0.5455,0.7051,0.0,0.0,0.169,"(6, 9, 17)"
Naive Bayes,0.5295,0.4631,0.6714,0.564,0.6046,0.0377,0.0277,0.162,"(6, 9, 17)"
Decision Tree Classifier,0.5192,0.525,0.5167,0.5956,0.5382,0.0443,0.0512,0.163,"(6, 9, 17)"
SVM - Linear Kernel,0.4878,0.0,0.5,0.2667,0.3474,0.0,0.0,0.164,"(6, 9, 17)"
Extra Trees Classifier,0.7485,0.8405,0.8357,0.7592,0.7878,0.4803,0.4995,0.221,"(6, 12, 13)"
Random Forest Classifier,0.703,0.7795,0.7548,0.7385,0.7379,0.3942,0.4036,0.229,"(6, 12, 13)"
Gradient Boosting Classifier,0.6758,0.7338,0.7048,0.7304,0.702,0.3431,0.3604,0.209,"(6, 12, 13)"
Ada Boost Classifier,0.675,0.7319,0.7833,0.6788,0.717,0.3318,0.3618,0.198,"(6, 12, 13)"
Light Gradient Boosting Machine,0.6311,0.7176,0.7071,0.6607,0.6786,0.2479,0.2544,0.165,"(6, 12, 13)"
Linear Discriminant Analysis,0.5955,0.6581,0.6048,0.6228,0.5971,0.1869,0.1963,0.166,"(6, 12, 13)"
Ridge Classifier,0.5788,0.0,0.6738,0.6217,0.6346,0.1311,0.143,0.164,"(6, 12, 13)"
Decision Tree Classifier,0.5773,0.5764,0.5929,0.6233,0.5964,0.1526,0.1559,0.168,"(6, 12, 13)"
Quadratic Discriminant Analysis,0.5667,0.5217,0.9833,0.5625,0.7139,0.0467,0.0618,0.168,"(6, 12, 13)"
Logistic Regression,0.5598,0.5405,0.7048,0.5844,0.6306,0.0851,0.0969,0.174,"(6, 12, 13)"
Dummy Classifier,0.5492,0.5,1.0,0.5492,0.709,0.0,0.0,0.165,"(6, 12, 13)"
SVM - Linear Kernel,0.522,0.0,0.7,0.3856,0.4972,0.0,0.0,0.171,"(6, 12, 13)"
K Neighbors Classifier,0.478,0.4369,0.5262,0.5251,0.5204,-0.0528,-0.0493,0.166,"(6, 12, 13)"
Naive Bayes,0.478,0.5186,0.5429,0.5698,0.5183,-0.0615,-0.0654,0.167,"(6, 12, 13)"
Extra Trees Classifier,0.7,0.7375,0.7933,0.6588,0.7104,0.4142,0.4223,0.215,"(6, 12, 15)"
Ada Boost Classifier,0.64,0.6413,0.6767,0.6721,0.6595,0.2879,0.2874,0.191,"(6, 12, 15)"
Gradient Boosting Classifier,0.62,0.7303,0.72,0.6008,0.6453,0.2443,0.2529,0.213,"(6, 12, 15)"
Random Forest Classifier,0.6,0.6527,0.68,0.5727,0.6122,0.2086,0.2095,0.221,"(6, 12, 15)"
Light Gradient Boosting Machine,0.6,0.6413,0.7467,0.6213,0.6613,0.1855,0.2142,0.171,"(6, 12, 15)"
Decision Tree Classifier,0.59,0.5833,0.6967,0.6293,0.6461,0.1589,0.1738,0.168,"(6, 12, 15)"
Naive Bayes,0.55,0.5528,0.59,0.593,0.5797,0.0954,0.0906,0.164,"(6, 12, 15)"
Linear Discriminant Analysis,0.55,0.6153,0.5633,0.5917,0.569,0.0964,0.0965,0.171,"(6, 12, 15)"
Dummy Classifier,0.55,0.5,1.0,0.55,0.7083,0.0,0.0,0.172,"(6, 12, 15)"
Logistic Regression,0.54,0.5557,0.61,0.5685,0.5803,0.0617,0.0703,0.176,"(6, 12, 15)"
Ridge Classifier,0.52,0.0,0.5433,0.581,0.5468,0.044,0.0449,0.157,"(6, 12, 15)"
SVM - Linear Kernel,0.51,0.0,0.8,0.43,0.5583,0.0,0.0,0.167,"(6, 12, 15)"
Quadratic Discriminant Analysis,0.49,0.4733,0.6767,0.5318,0.5854,-0.0531,-0.0623,0.166,"(6, 12, 15)"
K Neighbors Classifier,0.47,0.5157,0.4767,0.4743,0.4633,-0.0535,-0.0753,0.164,"(6, 12, 15)"
Logistic Regression,0.6856,0.6362,0.7548,0.6952,0.7082,0.3598,0.3775,0.18,"(6, 12, 16)"
Extra Trees Classifier,0.6667,0.7157,0.7571,0.6818,0.7102,0.3203,0.3391,0.224,"(6, 12, 16)"
Light Gradient Boosting Machine,0.6659,0.7081,0.7381,0.6867,0.7052,0.3195,0.3353,0.18,"(6, 12, 16)"
Linear Discriminant Analysis,0.6568,0.6776,0.7024,0.6817,0.6817,0.3059,0.3215,0.175,"(6, 12, 16)"
Ada Boost Classifier,0.647,0.6629,0.7048,0.687,0.6892,0.2813,0.2864,0.204,"(6, 12, 16)"
Ridge Classifier,0.6402,0.0,0.7214,0.6623,0.6808,0.2643,0.2841,0.17,"(6, 12, 16)"
Random Forest Classifier,0.6394,0.6917,0.7071,0.6683,0.6774,0.2679,0.2797,0.22,"(6, 12, 16)"
Gradient Boosting Classifier,0.6318,0.6762,0.7238,0.6743,0.687,0.243,0.2558,0.208,"(6, 12, 16)"
Decision Tree Classifier,0.55,0.5493,0.5786,0.5835,0.5663,0.1012,0.1058,0.171,"(6, 12, 16)"
Dummy Classifier,0.5492,0.5,1.0,0.5492,0.709,0.0,0.0,0.172,"(6, 12, 16)"
Quadratic Discriminant Analysis,0.5417,0.4957,0.9714,0.5464,0.6985,-0.0098,-0.0032,0.171,"(6, 12, 16)"
Naive Bayes,0.5144,0.551,0.5905,0.5587,0.5649,0.0095,0.0116,0.171,"(6, 12, 16)"
SVM - Linear Kernel,0.5144,0.0,0.7,0.3818,0.4941,0.0,0.0,0.167,"(6, 12, 16)"
K Neighbors Classifier,0.4606,0.456,0.4929,0.5005,0.4879,-0.0864,-0.0928,0.175,"(6, 12, 16)"
Extra Trees Classifier,0.6686,0.7402,0.7452,0.6863,0.6901,0.3334,0.3641,0.226,"(6, 12, 17)"
Gradient Boosting Classifier,0.6359,0.6248,0.7429,0.6566,0.6929,0.2427,0.2469,0.229,"(6, 12, 17)"
Ridge Classifier,0.6218,0.0,0.6952,0.646,0.6541,0.2188,0.2387,0.17,"(6, 12, 17)"
Random Forest Classifier,0.6192,0.6943,0.7429,0.6412,0.6789,0.2172,0.2191,0.223,"(6, 12, 17)"
Light Gradient Boosting Machine,0.6109,0.6087,0.6905,0.628,0.6484,0.2026,0.2286,0.179,"(6, 12, 17)"
Decision Tree Classifier,0.5865,0.5829,0.5857,0.6367,0.5957,0.1639,0.1737,0.175,"(6, 12, 17)"
Linear Discriminant Analysis,0.5788,0.6867,0.6262,0.6555,0.6011,0.1504,0.1621,0.177,"(6, 12, 17)"
Logistic Regression,0.5712,0.5852,0.6714,0.5942,0.6251,0.1248,0.1283,0.187,"(6, 12, 17)"
Quadratic Discriminant Analysis,0.5455,0.5,1.0,0.5455,0.7051,0.0,0.0,0.171,"(6, 12, 17)"
Dummy Classifier,0.5455,0.5,1.0,0.5455,0.7051,0.0,0.0,0.177,"(6, 12, 17)"
Ada Boost Classifier,0.5365,0.5552,0.5143,0.5769,0.5277,0.0734,0.0766,0.208,"(6, 12, 17)"
SVM - Linear Kernel,0.4955,0.0,0.5,0.2705,0.3507,0.0,0.0,0.177,"(6, 12, 17)"
Naive Bayes,0.4385,0.4833,0.5643,0.4993,0.5225,-0.1387,-0.1478,0.175,"(6, 12, 17)"
K Neighbors Classifier,0.4378,0.471,0.531,0.494,0.5029,-0.1453,-0.1488,0.174,"(6, 12, 17)"
Extra Trees Classifier,0.7211,0.7628,0.75,0.7555,0.7413,0.4288,0.4525,0.23,"(6, 13, 15)"
Gradient Boosting Classifier,0.6911,0.7065,0.7567,0.7288,0.7246,0.3708,0.3849,0.218,"(6, 13, 15)"
Ada Boost Classifier,0.6833,0.6357,0.7167,0.7402,0.6886,0.357,0.3801,0.204,"(6, 13, 15)"
Light Gradient Boosting Machine,0.6711,0.717,0.7133,0.6993,0.6969,0.3286,0.3392,0.188,"(6, 13, 15)"
Random Forest Classifier,0.66,0.7679,0.7333,0.6997,0.7004,0.2922,0.3052,0.23,"(6, 13, 15)"
Decision Tree Classifier,0.5911,0.5883,0.6267,0.646,0.6285,0.1715,0.1763,0.171,"(6, 13, 15)"
Ridge Classifier,0.5767,0.0,0.64,0.6039,0.6157,0.1362,0.1392,0.172,"(6, 13, 15)"
Dummy Classifier,0.5511,0.5,1.0,0.5511,0.7095,0.0,0.0,0.179,"(6, 13, 15)"
Linear Discriminant Analysis,0.5478,0.5728,0.5167,0.6236,0.5433,0.105,0.1193,0.177,"(6, 13, 15)"
Quadratic Discriminant Analysis,0.5311,0.5017,0.7933,0.5496,0.6428,0.006,-0.0115,0.168,"(6, 13, 15)"
Logistic Regression,0.5167,0.5373,0.5867,0.5576,0.5668,0.015,0.0147,0.179,"(6, 13, 15)"
K Neighbors Classifier,0.5167,0.5369,0.5467,0.5548,0.5478,0.0179,0.0166,0.173,"(6, 13, 15)"
SVM - Linear Kernel,0.48,0.0,0.5,0.2656,0.3464,0.0,0.0,0.176,"(6, 13, 15)"
Naive Bayes,0.4478,0.4783,0.39,0.4738,0.4148,-0.0925,-0.1032,0.179,"(6, 13, 15)"
Extra Trees Classifier,0.7609,0.8203,0.8333,0.7887,0.7889,0.5146,0.5592,0.23,"(6, 13, 16)"
Ada Boost Classifier,0.6982,0.7453,0.7,0.7444,0.7063,0.3971,0.4141,0.214,"(6, 13, 16)"
Random Forest Classifier,0.6964,0.8053,0.8167,0.7179,0.7471,0.3768,0.3979,0.234,"(6, 13, 16)"
Light Gradient Boosting Machine,0.6873,0.7387,0.7467,0.7082,0.7176,0.3671,0.3765,0.185,"(6, 13, 16)"
Gradient Boosting Classifier,0.6782,0.7673,0.7133,0.7089,0.7016,0.3529,0.3635,0.226,"(6, 13, 16)"
Logistic Regression,0.6055,0.632,0.66,0.6256,0.6323,0.2029,0.2121,0.182,"(6, 13, 16)"
Ridge Classifier,0.5973,0.0,0.6633,0.6419,0.6374,0.1797,0.1767,0.174,"(6, 13, 16)"
Naive Bayes,0.5864,0.6113,0.6633,0.6268,0.6332,0.162,0.1671,0.178,"(6, 13, 16)"
Quadratic Discriminant Analysis,0.5864,0.5667,0.8333,0.5895,0.6845,0.137,0.1465,0.186,"(6, 13, 16)"
Linear Discriminant Analysis,0.57,0.5813,0.59,0.6373,0.592,0.1297,0.1452,0.182,"(6, 13, 16)"
Decision Tree Classifier,0.56,0.5567,0.5933,0.6181,0.5947,0.1106,0.1191,0.181,"(6, 13, 16)"
Dummy Classifier,0.5409,0.5,1.0,0.5409,0.702,0.0,0.0,0.181,"(6, 13, 16)"
SVM - Linear Kernel,0.5136,0.0,0.7,0.3773,0.4902,0.0,0.0,0.178,"(6, 13, 16)"
K Neighbors Classifier,0.4945,0.4853,0.5033,0.5012,0.4924,-0.0134,-0.0193,0.176,"(6, 13, 16)"
Extra Trees Classifier,0.7288,0.7757,0.7452,0.7556,0.7386,0.4411,0.4498,0.226,"(6, 13, 17)"
Gradient Boosting Classifier,0.7061,0.7471,0.7571,0.7362,0.7357,0.4042,0.4224,0.223,"(6, 13, 17)"
Linear Discriminant Analysis,0.6977,0.7766,0.7357,0.7453,0.7264,0.3798,0.3907,0.188,"(6, 13, 17)"
Light Gradient Boosting Machine,0.6788,0.694,0.6905,0.7388,0.7032,0.3392,0.3509,0.199,"(6, 13, 17)"
Decision Tree Classifier,0.6614,0.6593,0.7286,0.6995,0.6994,0.3157,0.332,0.179,"(6, 13, 17)"
Random Forest Classifier,0.6364,0.7015,0.719,0.6507,0.6751,0.2527,0.2607,0.24,"(6, 13, 17)"
Ada Boost Classifier,0.6114,0.5797,0.681,0.6432,0.6505,0.2058,0.2205,0.216,"(6, 13, 17)"
Naive Bayes,0.5841,0.5552,0.7381,0.6016,0.6558,0.1304,0.1417,0.181,"(6, 13, 17)"
Logistic Regression,0.5689,0.5779,0.6976,0.604,0.634,0.1079,0.1368,0.189,"(6, 13, 17)"
Quadratic Discriminant Analysis,0.5508,0.5,1.0,0.5508,0.7096,0.0,0.0,0.184,"(6, 13, 17)"
Dummy Classifier,0.5508,0.5,1.0,0.5508,0.7096,0.0,0.0,0.184,"(6, 13, 17)"
SVM - Linear Kernel,0.5258,0.0,0.7857,0.4386,0.5622,-0.0161,-0.0255,0.182,"(6, 13, 17)"
Ridge Classifier,0.5167,0.0,0.6929,0.5424,0.5975,-0.0065,0.0063,0.179,"(6, 13, 17)"
K Neighbors Classifier,0.4553,0.4525,0.4905,0.5016,0.4876,-0.0958,-0.1065,0.185,"(6, 13, 17)"
Light Gradient Boosting Machine,0.7144,0.8347,0.8167,0.7373,0.7628,0.4187,0.4193,0.192,"(6, 15, 16)"
Gradient Boosting Classifier,0.7067,0.8025,0.7867,0.7576,0.7443,0.4118,0.439,0.229,"(6, 15, 16)"
Linear Discriminant Analysis,0.6656,0.7502,0.71,0.7069,0.7016,0.3153,0.3258,0.184,"(6, 15, 16)"
Random Forest Classifier,0.6633,0.7352,0.7833,0.6695,0.7128,0.3094,0.3381,0.234,"(6, 15, 16)"
Ada Boost Classifier,0.6356,0.655,0.73,0.6716,0.6856,0.2622,0.2607,0.207,"(6, 15, 16)"
Extra Trees Classifier,0.6333,0.735,0.7633,0.6318,0.6807,0.2506,0.2868,0.236,"(6, 15, 16)"
Ridge Classifier,0.6144,0.0,0.6667,0.6407,0.6479,0.2148,0.2177,0.185,"(6, 15, 16)"
Decision Tree Classifier,0.6033,0.5967,0.6833,0.6572,0.6464,0.1921,0.2276,0.181,"(6, 15, 16)"
Logistic Regression,0.5833,0.6953,0.6867,0.611,0.6364,0.139,0.1433,0.189,"(6, 15, 16)"
Dummy Classifier,0.5511,0.5,1.0,0.5511,0.7095,0.0,0.0,0.186,"(6, 15, 16)"
SVM - Linear Kernel,0.54,0.0,0.7,0.3956,0.5048,0.0,0.0,0.184,"(6, 15, 16)"
Naive Bayes,0.53,0.6002,0.58,0.6099,0.5717,0.0623,0.0604,0.185,"(6, 15, 16)"
Quadratic Discriminant Analysis,0.5178,0.4883,0.8167,0.5447,0.6461,-0.0251,-0.0338,0.187,"(6, 15, 16)"
K Neighbors Classifier,0.4422,0.4143,0.5433,0.4867,0.4997,-0.1177,-0.1256,0.189,"(6, 15, 16)"
Light Gradient Boosting Machine,0.6845,0.7097,0.7667,0.7161,0.7227,0.3461,0.3665,0.198,"(6, 15, 17)"
Ada Boost Classifier,0.6464,0.7165,0.63,0.7182,0.6488,0.2918,0.3093,0.213,"(6, 15, 17)"
Linear Discriminant Analysis,0.6427,0.69,0.6167,0.691,0.6296,0.2923,0.3069,0.192,"(6, 15, 17)"
Extra Trees Classifier,0.64,0.6997,0.7133,0.6506,0.6753,0.268,0.2809,0.23,"(6, 15, 17)"
Random Forest Classifier,0.6391,0.7157,0.7667,0.6451,0.6931,0.2477,0.261,0.242,"(6, 15, 17)"
Gradient Boosting Classifier,0.6291,0.6827,0.6467,0.6656,0.6484,0.2567,0.2626,0.219,"(6, 15, 17)"
Decision Tree Classifier,0.5864,0.5867,0.5833,0.6389,0.5952,0.1718,0.1814,0.183,"(6, 15, 17)"
Logistic Regression,0.5782,0.54,0.65,0.6033,0.6169,0.1454,0.1542,0.192,"(6, 15, 17)"
Ridge Classifier,0.5682,0.0,0.6133,0.6006,0.6018,0.1251,0.1273,0.184,"(6, 15, 17)"
K Neighbors Classifier,0.5627,0.547,0.5033,0.6267,0.5396,0.1332,0.1439,0.183,"(6, 15, 17)"
Dummy Classifier,0.5464,0.5,1.0,0.5464,0.7064,0.0,0.0,0.188,"(6, 15, 17)"
Quadratic Discriminant Analysis,0.5382,0.5092,0.8333,0.5623,0.663,0.0183,0.0136,0.192,"(6, 15, 17)"
Naive Bayes,0.5273,0.5317,0.5433,0.579,0.5417,0.0473,0.0403,0.184,"(6, 15, 17)"
SVM - Linear Kernel,0.4736,0.0,0.1,0.06,0.075,0.0,0.0,0.185,"(6, 15, 17)"
Extra Trees Classifier,0.7273,0.8415,0.7976,0.7745,0.7625,0.4392,0.4782,0.239,"(6, 16, 17)"
Linear Discriminant Analysis,0.7144,0.7937,0.7595,0.772,0.7431,0.415,0.4376,0.193,"(6, 16, 17)"
Random Forest Classifier,0.7114,0.7991,0.7667,0.7508,0.7316,0.4153,0.4494,0.252,"(6, 16, 17)"
Ada Boost Classifier,0.6924,0.6867,0.75,0.7321,0.7225,0.3766,0.3997,0.222,"(6, 16, 17)"
Gradient Boosting Classifier,0.678,0.7361,0.7381,0.7125,0.7084,0.3487,0.3783,0.232,"(6, 16, 17)"
Ridge Classifier,0.628,0.0,0.7429,0.6552,0.6904,0.2357,0.2389,0.19,"(6, 16, 17)"
Light Gradient Boosting Machine,0.6273,0.6964,0.719,0.6735,0.6636,0.2383,0.2736,0.189,"(6, 16, 17)"
Decision Tree Classifier,0.6174,0.6107,0.6548,0.6255,0.6287,0.2254,0.2403,0.189,"(6, 16, 17)"
Logistic Regression,0.6106,0.6188,0.7381,0.6427,0.6812,0.1912,0.1911,0.195,"(6, 16, 17)"
Quadratic Discriminant Analysis,0.5508,0.5,1.0,0.5508,0.7096,0.0,0.0,0.192,"(6, 16, 17)"
Dummy Classifier,0.5508,0.5,1.0,0.5508,0.7096,0.0,0.0,0.198,"(6, 16, 17)"
Naive Bayes,0.5258,0.5337,0.6548,0.5788,0.6038,0.0135,-0.0002,0.194,"(6, 16, 17)"
SVM - Linear Kernel,0.5174,0.0,0.7,0.3841,0.4956,0.0,0.0,0.185,"(6, 16, 17)"
K Neighbors Classifier,0.4629,0.4337,0.4571,0.5186,0.4692,-0.0598,-0.0592,0.19,"(6, 16, 17)"
Gradient Boosting Classifier,0.6009,0.5817,0.68,0.6296,0.6489,0.1828,0.1871,0.231,"(9, 12, 13)"
Random Forest Classifier,0.5918,0.5645,0.7067,0.6313,0.6479,0.1645,0.1839,0.24,"(9, 12, 13)"
Quadratic Discriminant Analysis,0.5827,0.5583,0.8067,0.5721,0.6517,0.1252,0.1734,0.187,"(9, 12, 13)"
Decision Tree Classifier,0.57,0.5658,0.5767,0.6061,0.5834,0.1333,0.1363,0.188,"(9, 12, 13)"
Ada Boost Classifier,0.5691,0.5768,0.6467,0.5969,0.6097,0.1238,0.1373,0.221,"(9, 12, 13)"
Light Gradient Boosting Machine,0.5618,0.5315,0.59,0.5976,0.5816,0.1079,0.1005,0.2,"(9, 12, 13)"
Extra Trees Classifier,0.5609,0.5803,0.67,0.5887,0.6169,0.1039,0.1205,0.235,"(9, 12, 13)"
Linear Discriminant Analysis,0.5427,0.61,0.51,0.59,0.5338,0.0894,0.0916,0.191,"(9, 12, 13)"
Dummy Classifier,0.5427,0.5,1.0,0.5427,0.7029,0.0,0.0,0.198,"(9, 12, 13)"
SVM - Linear Kernel,0.4864,0.0,0.4,0.2145,0.2789,0.0,0.0,0.194,"(9, 12, 13)"
Ridge Classifier,0.4191,0.0,0.5267,0.4563,0.4841,-0.1825,-0.1836,0.186,"(9, 12, 13)"
Logistic Regression,0.4091,0.4092,0.5067,0.4483,0.4729,-0.2108,-0.2206,0.198,"(9, 12, 13)"
K Neighbors Classifier,0.3918,0.3974,0.42,0.4033,0.4093,-0.2284,-0.2399,0.186,"(9, 12, 13)"
Naive Bayes,0.3245,0.2865,0.4433,0.393,0.4074,-0.3607,-0.3945,0.19,"(9, 12, 13)"
Extra Trees Classifier,0.6611,0.7617,0.7133,0.6964,0.6986,0.3128,0.3231,0.239,"(9, 12, 15)"
Light Gradient Boosting Machine,0.6589,0.6438,0.7133,0.6888,0.6964,0.3038,0.3091,0.2,"(9, 12, 15)"
Random Forest Classifier,0.6367,0.7008,0.73,0.6771,0.6905,0.2586,0.2675,0.252,"(9, 12, 15)"
Decision Tree Classifier,0.6289,0.6233,0.6567,0.6889,0.645,0.2457,0.2752,0.194,"(9, 12, 15)"
Ada Boost Classifier,0.6189,0.6255,0.6933,0.6541,0.6563,0.2183,0.2299,0.221,"(9, 12, 15)"
Linear Discriminant Analysis,0.6089,0.6537,0.59,0.6714,0.5998,0.2396,0.256,0.191,"(9, 12, 15)"
Ridge Classifier,0.6067,0.0,0.6767,0.6655,0.6548,0.2054,0.2185,0.192,"(9, 12, 15)"
Gradient Boosting Classifier,0.6044,0.6415,0.71,0.635,0.654,0.185,0.1984,0.236,"(9, 12, 15)"
Logistic Regression,0.5844,0.5775,0.6767,0.6226,0.6406,0.1545,0.1611,0.199,"(9, 12, 15)"
Quadratic Discriminant Analysis,0.5811,0.5608,0.7667,0.6169,0.6604,0.119,0.1529,0.197,"(9, 12, 15)"
Dummy Classifier,0.5533,0.5,1.0,0.5533,0.7119,0.0,0.0,0.197,"(9, 12, 15)"
K Neighbors Classifier,0.5289,0.5175,0.48,0.6071,0.5212,0.0646,0.0719,0.197,"(9, 12, 15)"
Naive Bayes,0.5122,0.5812,0.5833,0.575,0.5704,0.0154,0.0176,0.195,"(9, 12, 15)"
SVM - Linear Kernel,0.4989,0.0,0.54,0.3211,0.3995,-0.02,-0.02,0.185,"(9, 12, 15)"
Gradient Boosting Classifier,0.7064,0.7175,0.7733,0.7233,0.7415,0.3933,0.4099,0.24,"(9, 12, 16)"
Extra Trees Classifier,0.6973,0.7687,0.7933,0.7154,0.7417,0.3715,0.3955,0.243,"(9, 12, 16)"
Quadratic Discriminant Analysis,0.6955,0.6683,0.9667,0.6645,0.7808,0.3456,0.3959,0.199,"(9, 12, 16)"
Linear Discriminant Analysis,0.6836,0.7675,0.7367,0.7255,0.7136,0.3474,0.3743,0.198,"(9, 12, 16)"
Light Gradient Boosting Machine,0.6673,0.6872,0.7,0.6827,0.6785,0.3204,0.3288,0.201,"(9, 12, 16)"
Decision Tree Classifier,0.64,0.6317,0.7033,0.6539,0.6636,0.271,0.2927,0.2,"(9, 12, 16)"
Ada Boost Classifier,0.6364,0.7215,0.6133,0.6945,0.6446,0.2679,0.2759,0.228,"(9, 12, 16)"
Logistic Regression,0.6082,0.6133,0.6967,0.6182,0.6507,0.2027,0.2162,0.208,"(9, 12, 16)"
Random Forest Classifier,0.5918,0.642,0.7067,0.6195,0.6576,0.1562,0.1565,0.25,"(9, 12, 16)"
Ridge Classifier,0.57,0.0,0.64,0.5825,0.6016,0.1213,0.1452,0.197,"(9, 12, 16)"
Dummy Classifier,0.5427,0.5,1.0,0.5427,0.7029,0.0,0.0,0.197,"(9, 12, 16)"
Naive Bayes,0.5036,0.447,0.65,0.5435,0.5824,-0.0371,-0.0392,0.194,"(9, 12, 16)"
SVM - Linear Kernel,0.4845,0.0,0.3,0.1636,0.2118,0.0,0.0,0.187,"(9, 12, 16)"
K Neighbors Classifier,0.4118,0.388,0.47,0.43,0.4452,-0.2085,-0.2203,0.196,"(9, 12, 16)"
Linear Discriminant Analysis,0.7068,0.7049,0.7262,0.7588,0.7293,0.4052,0.4179,0.201,"(9, 12, 17)"
Extra Trees Classifier,0.6303,0.6911,0.7881,0.6306,0.6972,0.2296,0.2526,0.245,"(9, 12, 17)"
Gradient Boosting Classifier,0.6189,0.6769,0.681,0.6721,0.6645,0.2214,0.2197,0.239,"(9, 12, 17)"
Decision Tree Classifier,0.6023,0.6038,0.5643,0.6543,0.5959,0.2025,0.2056,0.196,"(9, 12, 17)"
Ada Boost Classifier,0.6023,0.6907,0.6143,0.6769,0.6299,0.1928,0.2058,0.231,"(9, 12, 17)"
Light Gradient Boosting Machine,0.5955,0.6744,0.7095,0.608,0.649,0.1697,0.1886,0.204,"(9, 12, 17)"
Random Forest Classifier,0.5773,0.6106,0.7405,0.5873,0.6529,0.1176,0.1367,0.251,"(9, 12, 17)"
Quadratic Discriminant Analysis,0.5523,0.5,1.0,0.5523,0.7112,0.0,0.0,0.2,"(9, 12, 17)"
Dummy Classifier,0.5523,0.5,1.0,0.5523,0.7112,0.0,0.0,0.202,"(9, 12, 17)"
SVM - Linear Kernel,0.525,0.0,0.6,0.3386,0.4328,0.0,0.0,0.197,"(9, 12, 17)"
Naive Bayes,0.4992,0.4495,0.7024,0.5231,0.5955,-0.0397,-0.0292,0.2,"(9, 12, 17)"
Ridge Classifier,0.4985,0.0,0.6071,0.5401,0.5642,-0.0235,-0.0235,0.198,"(9, 12, 17)"
Logistic Regression,0.4462,0.4187,0.5905,0.5018,0.5358,-0.1357,-0.1472,0.202,"(9, 12, 17)"
K Neighbors Classifier,0.4394,0.4261,0.4452,0.491,0.4551,-0.1206,-0.1253,0.197,"(9, 12, 17)"
Extra Trees Classifier,0.6978,0.737,0.72,0.7373,0.7126,0.3973,0.4214,0.249,"(9, 13, 15)"
Ridge Classifier,0.6533,0.0,0.72,0.6783,0.6891,0.2974,0.3031,0.198,"(9, 13, 15)"
Light Gradient Boosting Machine,0.6456,0.682,0.68,0.6923,0.6681,0.2841,0.315,0.204,"(9, 13, 15)"
Gradient Boosting Classifier,0.6233,0.627,0.7,0.6813,0.662,0.2267,0.2495,0.241,"(9, 13, 15)"
Ada Boost Classifier,0.6133,0.576,0.68,0.6658,0.652,0.2146,0.2414,0.23,"(9, 13, 15)"
Linear Discriminant Analysis,0.6111,0.611,0.58,0.66,0.6105,0.2279,0.2332,0.204,"(9, 13, 15)"
Logistic Regression,0.6089,0.553,0.74,0.6261,0.6651,0.1954,0.2193,0.21,"(9, 13, 15)"
Random Forest Classifier,0.5989,0.655,0.68,0.6173,0.6375,0.1873,0.2064,0.254,"(9, 13, 15)"
Quadratic Discriminant Analysis,0.5778,0.5625,0.76,0.5958,0.6615,0.1266,0.1303,0.203,"(9, 13, 15)"
Dummy Classifier,0.5444,0.5,1.0,0.5444,0.7048,0.0,0.0,0.202,"(9, 13, 15)"
SVM - Linear Kernel,0.5333,0.0,0.8,0.4389,0.5667,0.0,0.0,0.192,"(9, 13, 15)"
Decision Tree Classifier,0.5144,0.5175,0.5,0.5667,0.528,0.033,0.0326,0.211,"(9, 13, 15)"
Naive Bayes,0.4356,0.394,0.34,0.4088,0.3538,-0.1059,-0.1345,0.202,"(9, 13, 15)"
K Neighbors Classifier,0.4344,0.4555,0.4,0.4607,0.4089,-0.1157,-0.1379,0.204,"(9, 13, 15)"
Extra Trees Classifier,0.7336,0.802,0.7967,0.744,0.7592,0.4598,0.4828,0.25,"(9, 13, 16)"
Random Forest Classifier,0.6464,0.7672,0.7767,0.6513,0.6981,0.2762,0.3037,0.255,"(9, 13, 16)"
Light Gradient Boosting Machine,0.6364,0.7253,0.6567,0.6701,0.6415,0.263,0.2851,0.217,"(9, 13, 16)"
Gradient Boosting Classifier,0.6355,0.7183,0.7267,0.6595,0.6747,0.2486,0.2574,0.246,"(9, 13, 16)"
Ada Boost Classifier,0.6255,0.6905,0.66,0.6562,0.6433,0.254,0.2696,0.233,"(9, 13, 16)"
Linear Discriminant Analysis,0.6255,0.6698,0.6367,0.6569,0.6398,0.245,0.2482,0.202,"(9, 13, 16)"
Ridge Classifier,0.6082,0.0,0.7133,0.6304,0.662,0.1994,0.2049,0.201,"(9, 13, 16)"
Quadratic Discriminant Analysis,0.5864,0.5625,0.86,0.5957,0.6943,0.1271,0.1451,0.205,"(9, 13, 16)"
